[{'A': 0.2009460689789554, 'C': 0.2436645297619615, 'E': 0.18188546892920754, 'G': 0.21664329035923402}, {'A': -0.2019460689789554, 'C': -0.2446645297619615, 'E': -0.18288546892920754, 'G': -0.21764329035923402}, {'B': 0.34396337168928687, 'D': 0.374046602260721, 'F': 0.15003481586768144, 'H': 0.07646253077242846}, {'B': -0.34496337168928687, 'D': -0.375046602260721, 'F': -0.15103481586768144, 'H': -0.07746253077242846}, {'A': 0.3580177860454331, 'C': 0.35717195862168355, 'E': 0.2790063911295978, 'G': 0.27961381797120455}, {'A': -0.3590177860454331, 'C': -0.35817195862168355, 'E': -0.2800063911295978, 'G': -0.28061381797120455}, {'B': 0.49068814947574924, 'D': 0.3078594309890813, 'F': 0.3554792759305345, 'H': 0.32906003865079886}, {'B': -0.49168814947574924, 'D': -0.3088594309890813, 'F': -0.3564792759305345, 'H': -0.33006003865079886}, {'B': 0.26041125019217337, 'D': 0.4863088831425707, 'F': 0.1632851411983693, 'H': 0.20607090933692845}, {'B': -0.26141125019217337, 'D': -0.4873088831425707, 'F': -0.1642851411983693, 'H': -0.20707090933692845}, {'B': 0.16505929151340634, 'D': 0.472185867115984, 'F': 0.3212356243491893, 'H': 0.26353090621510084}, {'B': -0.16605929151340634, 'D': -0.473185867115984, 'F': -0.3222356243491893, 'H': -0.26453090621510084}, {'B': 0.22767599703010927, 'D': 0.48824584732158716, 'F': 0.48451630848445015, 'H': 0.46345478653083305}, {'B': -0.22867599703010927, 'D': -0.48924584732158716, 'F': -0.48551630848445015, 'H': -0.46445478653083305}, {'B': 0.3534682131679393, 'D': 0.05190112656518015, 'F': 0.30374836432268576, 'H': 0.39000830709766776}, {'B': -0.3544682131679393, 'D': -0.05290112656518015, 'F': -0.30474836432268576, 'H': -0.39100830709766776}, {'B': 0.0881430297209213, 'D': 0.10937607130501174, 'F': 0.16449419910136553, 'H': 0.2841130881382575}, {'B': -0.08914302972092131, 'D': -0.11037607130501174, 'F': -0.16549419910136554, 'H': -0.2851130881382575}, {'A': 0.06727885721414881, 'C': 0.2733944970880187, 'E': 0.05507651106102024, 'G': 0.12020442678606623}, {'A': -0.06827885721414881, 'C': -0.2743944970880187, 'E': -0.05607651106102024, 'G': -0.12120442678606623}]
[{'B': 0.157216225163687, 'D': 0.4666604238805143, 'F': 0.28516865366832883, 'H': 0.20202815355227144}, {'B': -0.158216225163687, 'D': -0.4676604238805143, 'F': -0.28616865366832883, 'H': -0.20302815355227144}, {'A': 0.1488683000115786, 'C': 0.3045415621854479, 'E': 0.4201756953918545, 'G': 0.4643191446650644}, {'A': -0.1498683000115786, 'C': -0.3055415621854479, 'E': -0.4211756953918545, 'G': -0.4653191446650644}, {'A': 0.13709655481193145, 'C': 0.17365996465070527, 'E': 0.27096221509167856, 'G': 0.43801048521689234}, {'A': -0.13809655481193145, 'C': -0.17465996465070527, 'E': -0.27196221509167856, 'G': -0.43901048521689234}, {'A': 0.38013924002735905, 'C': 0.28218249765318015, 'E': 0.1631342708751059, 'G': 0.19380295224985633}, {'A': -0.38113924002735905, 'C': -0.28318249765318015, 'E': -0.1641342708751059, 'G': -0.19480295224985633}, {'B': 0.2270755985361408, 'D': 0.053560834079221235, 'F': 0.4484219720168307, 'H': 0.12033630737106356}, {'B': -0.2280755985361408, 'D': -0.054560834079221236, 'F': -0.4494219720168307, 'H': -0.12133630737106356}, {'A': 0.46262417067867445, 'C': 0.19858194557858633, 'E': 0.22433349603866193, 'G': 0.42008714619972953}, {'A': -0.46362417067867445, 'C': -0.19958194557858633, 'E': -0.22533349603866193, 'G': -0.42108714619972953}, {'B': 0.20012321359189073, 'D': 0.4861214965436429, 'F': 0.31170586908371567, 'H': 0.4038174305862052}, {'B': -0.20112321359189073, 'D': -0.4871214965436429, 'F': -0.31270586908371567, 'H': -0.4048174305862052}, {'A': 0.1966123052080192, 'C': 0.3026047571183171, 'E': 0.11819330008060087, 'G': 0.43763968426681776}, {'A': -0.1976123052080192, 'C': -0.3036047571183171, 'E': -0.11919330008060088, 'G': -0.43863968426681776}, {'B': 0.0660669216219572, 'D': 0.24082190901771955, 'F': 0.11230230847168762, 'H': 0.0727746113614414}, {'B': -0.0670669216219572, 'D': -0.24182190901771955, 'F': -0.11330230847168762, 'H': -0.0737746113614414}, {'B': 0.4540964611664581, 'D': 0.1464132997794013, 'F': 0.14716092304789669, 'H': 0.24312724494813942}, {'B': -0.4550964611664581, 'D': -0.1474132997794013, 'F': -0.1481609230478967, 'H': -0.24412724494813942}]
[{'A': 0.33022989832596195, 'C': 0.3045176465748178, 'E': 0.4843050707260688, 'G': 0.4702716107268017}, {'A': -0.33122989832596195, 'C': -0.3055176465748178, 'E': -0.4853050707260688, 'G': -0.4712716107268017}, {'A': 0.2715611331477829, 'C': 0.16881332409999322, 'E': 0.3507881117796866, 'G': 0.3792293735090391}, {'A': -0.2725611331477829, 'C': -0.16981332409999322, 'E': -0.3517881117796866, 'G': -0.3802293735090391}, {'A': 0.10857600397964996, 'C': 0.4789258888995532, 'E': 0.2139529482107922, 'G': 0.4938776807764699}, {'A': -0.10957600397964996, 'C': -0.4799258888995532, 'E': -0.2149529482107922, 'G': -0.4948776807764699}, {'B': 0.2501081877576778, 'D': 0.08076739180217712, 'F': 0.48782724789561704, 'H': 0.22059684031462545}, {'B': -0.2511081877576778, 'D': -0.08176739180217713, 'F': -0.48882724789561705, 'H': -0.22159684031462545}, {'A': 0.11820464294724817, 'C': 0.13861692019485172, 'E': 0.4961517761151325, 'G': 0.37696683081715043}, {'A': -0.11920464294724817, 'C': -0.13961692019485172, 'E': -0.4971517761151325, 'G': -0.37796683081715043}, {'A': 0.20926044671755983, 'C': 0.37930361583835803, 'E': 0.3442978058203821, 'G': 0.37740001196022893}, {'A': -0.21026044671755983, 'C': -0.38030361583835803, 'E': -0.3452978058203821, 'G': -0.37840001196022893}, {'A': 0.4063376338182019, 'C': 0.4732448691439966, 'E': 0.4627839037874044, 'G': 0.2823155241434835}, {'A': -0.4073376338182019, 'C': -0.4742448691439966, 'E': -0.4637839037874044, 'G': -0.2833155241434835}, {'B': 0.16950319098571762, 'D': 0.3158256620638871, 'F': 0.053053376082186264, 'H': 0.22444809455754638}, {'B': -0.17050319098571762, 'D': -0.3168256620638871, 'F': -0.054053376082186265, 'H': -0.22544809455754639}, {'B': 0.27945816037681087, 'D': 0.23141188992637618, 'F': 0.10480035255124479, 'H': 0.27382331921908043}, {'B': -0.28045816037681087, 'D': -0.23241188992637618, 'F': -0.10580035255124479, 'H': -0.27482331921908043}, {'B': 0.3081788751382526, 'D': 0.40146325281305983, 'F': 0.44475682330058974, 'H': 0.23087581272709068}, {'B': -0.3091788751382526, 'D': -0.40246325281305984, 'F': -0.44575682330058974, 'H': -0.23187581272709068}]
[{'A': 0.457130886136458, 'C': 0.11360300006724212, 'E': 0.4846709009311364, 'G': 0.1962077573177899}, {'A': -0.458130886136458, 'C': -0.11460300006724213, 'E': -0.4856709009311364, 'G': -0.1972077573177899}, {'B': 0.4740963627706153, 'D': 0.44295910790549986, 'F': 0.3240286361815294, 'H': 0.31109895645950264}, {'B': -0.4750963627706153, 'D': -0.44395910790549986, 'F': -0.3250286361815294, 'H': -0.31209895645950264}, {'A': 0.3528180685868649, 'C': 0.4962231041150715, 'E': 0.4517851955256909, 'G': 0.4678796972192188}, {'A': -0.3538180685868649, 'C': -0.4972231041150715, 'E': -0.4527851955256909, 'G': -0.4688796972192188}, {'B': 0.1358563116779186, 'D': 0.2984482811172315, 'F': 0.4750827917076269, 'H': 0.31194568542409995}, {'B': -0.1368563116779186, 'D': -0.2994482811172315, 'F': -0.4760827917076269, 'H': -0.31294568542409995}, {'B': 0.18167733198918923, 'D': 0.47272570954696824, 'F': 0.09548506299056159, 'H': 0.2794715118201388}, {'B': -0.18267733198918923, 'D': -0.47372570954696824, 'F': -0.09648506299056159, 'H': -0.2804715118201388}, {'A': 0.21939799242235664, 'C': 0.42781224860087613, 'E': 0.0801245652383973, 'G': 0.24970259777269443}, {'A': -0.22039799242235664, 'C': -0.42881224860087613, 'E': -0.0811245652383973, 'G': -0.25070259777269444}, {'A': 0.3258581566410434, 'C': 0.23027735451140002, 'E': 0.12207109905510895, 'G': 0.21319426439522055}, {'A': -0.3268581566410434, 'C': -0.23127735451140002, 'E': -0.12307109905510895, 'G': -0.21419426439522055}, {'B': 0.18966191122746356, 'D': 0.10602682256389559, 'F': 0.1563322910109884, 'H': 0.15350266417210184}, {'B': -0.19066191122746357, 'D': -0.10702682256389559, 'F': -0.1573322910109884, 'H': -0.15450266417210184}, {'B': 0.08930360390973036, 'D': 0.14718272646995506, 'F': 0.4886933866091092, 'H': 0.15643382708418233}, {'B': -0.09030360390973036, 'D': -0.14818272646995506, 'F': -0.4896933866091092, 'H': -0.15743382708418233}, {'A': 0.07570709942205814, 'C': 0.2230788852913772, 'E': 0.384563832634427, 'G': 0.3327152404245596}, {'A': -0.07670709942205814, 'C': -0.2240788852913772, 'E': -0.385563832634427, 'G': -0.3337152404245596}]
[{'B': 0.3711327282744499, 'D': 0.08774793385187726, 'F': 0.38625879525887497, 'H': 0.2761095860143884}, {'B': -0.3721327282744499, 'D': -0.08874793385187726, 'F': -0.38725879525887497, 'H': -0.2771095860143884}, {'B': 0.31985167011139976, 'D': 0.4044613574071932, 'F': 0.2764586233337619, 'H': 0.4567897692584719}, {'B': -0.32085167011139976, 'D': -0.4054613574071932, 'F': -0.2774586233337619, 'H': -0.4577897692584719}, {'B': 0.32201030470501035, 'D': 0.3916918977173513, 'F': 0.06078268681240969, 'H': 0.37886947264767146}, {'B': -0.32301030470501035, 'D': -0.3926918977173513, 'F': -0.06178268681240969, 'H': -0.37986947264767146}, {'B': 0.39087022884949013, 'D': 0.2013177728565692, 'F': 0.24342154540850425, 'H': 0.44319349542586906}, {'B': -0.39187022884949013, 'D': -0.2023177728565692, 'F': -0.24442154540850425, 'H': -0.44419349542586906}, {'B': 0.15810391006494823, 'D': 0.23343017410813072, 'F': 0.4614283326771624, 'H': 0.137024277839914}, {'B': -0.15910391006494823, 'D': -0.23443017410813072, 'F': -0.4624283326771624, 'H': -0.138024277839914}, {'A': 0.15356222766849187, 'C': 0.16251127187628922, 'E': 0.3493410956482425, 'G': 0.3262011979199724}, {'A': -0.15456222766849187, 'C': -0.16351127187628922, 'E': -0.3503410956482425, 'G': -0.3272011979199724}, {'A': 0.10368958480139352, 'C': 0.3555343900964732, 'E': 0.2883698801949569, 'G': 0.44531202439919204}, {'A': -0.10468958480139352, 'C': -0.3565343900964732, 'E': -0.2893698801949569, 'G': -0.44631202439919204}, {'B': 0.44128866505157216, 'D': 0.472683124177765, 'F': 0.24881648594167716, 'H': 0.14497164170720625}, {'B': -0.44228866505157216, 'D': -0.473683124177765, 'F': -0.24981648594167716, 'H': -0.14597164170720625}, {'A': 0.4419079347384834, 'C': 0.1832815459169802, 'E': 0.41082118241512616, 'G': 0.36093749314573537}, {'A': -0.4429079347384834, 'C': -0.1842815459169802, 'E': -0.41182118241512616, 'G': -0.36193749314573537}, {'B': 0.13185061743216564, 'D': 0.14698839678319645, 'F': 0.35826686326267604, 'H': 0.4147820765332179}, {'B': -0.13285061743216564, 'D': -0.14798839678319645, 'F': -0.35926686326267604, 'H': -0.4157820765332179}]
[{'B': 0.43134522533043285, 'D': 0.3346922757292424, 'F': 0.2562046990217026, 'H': 0.2223254451737387}, {'B': -0.43234522533043285, 'D': -0.33569227572924243, 'F': -0.2572046990217026, 'H': -0.2233254451737387}, {'A': 0.22483337592791203, 'C': 0.2477377830549763, 'E': 0.3187241022338219, 'G': 0.08594039827806638}, {'A': -0.22583337592791203, 'C': -0.2487377830549763, 'E': -0.3197241022338219, 'G': -0.08694039827806638}, {'A': 0.1908811515472288, 'C': 0.27276642108191435, 'E': 0.3990632718876466, 'G': 0.45792974886458293}, {'A': -0.1918811515472288, 'C': -0.27376642108191435, 'E': -0.4000632718876466, 'G': -0.45892974886458293}, {'A': 0.2832998016022938, 'C': 0.40282435106436787, 'E': 0.3222829697590177, 'G': 0.4777247922529351}, {'A': -0.2842998016022938, 'C': -0.40382435106436787, 'E': -0.3232829697590177, 'G': -0.4787247922529351}, {'A': 0.1644621079858291, 'C': 0.38751108477634305, 'E': 0.127917009591451, 'G': 0.053684994732866434}, {'A': -0.1654621079858291, 'C': -0.38851108477634305, 'E': -0.128917009591451, 'G': -0.054684994732866435}, {'B': 0.38964260706443377, 'D': 0.45752942312372225, 'F': 0.28903787962853816, 'H': 0.31845681876709125}, {'B': -0.39064260706443377, 'D': -0.45852942312372225, 'F': -0.29003787962853816, 'H': -0.31945681876709126}, {'B': 0.26855411511066424, 'D': 0.09658273144299004, 'F': 0.07522326670437866, 'H': 0.27045926046846125}, {'B': -0.26955411511066424, 'D': -0.09758273144299004, 'F': -0.07622326670437866, 'H': -0.27145926046846125}, {'B': 0.2865557763089746, 'D': 0.40373940910702677, 'F': 0.25052052720601237, 'H': 0.3849415883861971}, {'B': -0.2875557763089746, 'D': -0.40473940910702677, 'F': -0.25152052720601237, 'H': -0.3859415883861971}, {'A': 0.05537808406334315, 'C': 0.28464149290549234, 'E': 0.4851933792179052, 'G': 0.1745628961007009}, {'A': -0.05637808406334315, 'C': -0.28564149290549234, 'E': -0.4861933792179052, 'G': -0.1755628961007009}, {'A': 0.16314516262107848, 'C': 0.39380478669897945, 'E': 0.11706586131613758, 'G': 0.4434631681452797}, {'A': -0.16414516262107848, 'C': -0.39480478669897945, 'E': -0.11806586131613758, 'G': -0.4444631681452797}]
[{'A': 0.06116451210534987, 'C': 0.4886624547152764, 'E': 0.06613442411397598, 'G': 0.2940748385674244}, {'A': -0.06216451210534987, 'C': -0.4896624547152764, 'E': -0.06713442411397598, 'G': -0.2950748385674244}, {'A': 0.21183130589280452, 'C': 0.44638272162675735, 'E': 0.4961797160341998, 'G': 0.4217359775886851}, {'A': -0.21283130589280452, 'C': -0.44738272162675735, 'E': -0.4971797160341998, 'G': -0.4227359775886851}, {'A': 0.49262716323592715, 'C': 0.07685004096609077, 'E': 0.1422512870800945, 'G': 0.31159340231168137}, {'A': -0.49362716323592715, 'C': -0.07785004096609077, 'E': -0.1432512870800945, 'G': -0.31259340231168137}, {'A': 0.2977591043396995, 'C': 0.45276174825427173, 'E': 0.1871520797832757, 'G': 0.28294517264733215}, {'A': -0.2987591043396995, 'C': -0.45376174825427174, 'E': -0.1881520797832757, 'G': -0.28394517264733216}, {'A': 0.3112873599505701, 'C': 0.40356144223157864, 'E': 0.34886625318792125, 'G': 0.3300098107722178}, {'A': -0.3122873599505701, 'C': -0.40456144223157864, 'E': -0.34986625318792125, 'G': -0.3310098107722178}, {'B': 0.2311490191890394, 'D': 0.11138274852676572, 'F': 0.3383199219658625, 'H': 0.142701822735035}, {'B': -0.2321490191890394, 'D': -0.11238274852676572, 'F': -0.3393199219658625, 'H': -0.143701822735035}, {'A': 0.46892439052180296, 'C': 0.24426382534861873, 'E': 0.08735339818247205, 'G': 0.39338226591044956}, {'A': -0.46992439052180296, 'C': -0.24526382534861874, 'E': -0.08835339818247205, 'G': -0.39438226591044956}, {'B': 0.10043233242812483, 'D': 0.3520706308898291, 'F': 0.05889341946234691, 'H': 0.2677983572997561}, {'B': -0.10143233242812483, 'D': -0.3530706308898291, 'F': -0.059893419462346914, 'H': -0.2687983572997561}, {'B': 0.13617859934683843, 'D': 0.37536604169698384, 'F': 0.08803468823191557, 'H': 0.3078509350046346}, {'B': -0.13717859934683843, 'D': -0.37636604169698384, 'F': -0.08903468823191557, 'H': -0.3088509350046346}, {'B': 0.2239674720966809, 'D': 0.18870191620278431, 'F': 0.44956083990045614, 'H': 0.38263612694817656}, {'B': -0.2249674720966809, 'D': -0.18970191620278432, 'F': -0.45056083990045614, 'H': -0.38363612694817656}]
[{'B': 0.2861967406446759, 'D': 0.3172105435306143, 'F': 0.4129494728357608, 'H': 0.08774636784081818}, {'B': -0.2871967406446759, 'D': -0.3182105435306143, 'F': -0.4139494728357608, 'H': -0.08874636784081819}, {'B': 0.11981274905432894, 'D': 0.21220156816372615, 'F': 0.44905786115632856, 'H': 0.33538708501025594}, {'B': -0.12081274905432894, 'D': -0.21320156816372615, 'F': -0.45005786115632856, 'H': -0.33638708501025594}, {'A': 0.2500918594438529, 'C': 0.24094095687437544, 'E': 0.42599310654378125, 'G': 0.48399566597865984}, {'A': -0.2510918594438529, 'C': -0.24194095687437545, 'E': -0.42699310654378125, 'G': -0.48499566597865984}, {'B': 0.48919820918027446, 'D': 0.17571856886598908, 'F': 0.23398385829231805, 'H': 0.14597999876151274}, {'B': -0.49019820918027446, 'D': -0.17671856886598908, 'F': -0.23498385829231805, 'H': -0.14697999876151274}, {'A': 0.177408279229536, 'C': 0.31233943163370526, 'E': 0.0599327567911105, 'G': 0.3841318460353661}, {'A': -0.178408279229536, 'C': -0.31333943163370526, 'E': -0.0609327567911105, 'G': -0.3851318460353661}, {'B': 0.3173836189630216, 'D': 0.4226559060201599, 'F': 0.3638106463592308, 'H': 0.11238663987668322}, {'B': -0.3183836189630216, 'D': -0.4236559060201599, 'F': -0.36481064635923083, 'H': -0.11338663987668322}, {'B': 0.32760654543832557, 'D': 0.38660966040975614, 'F': 0.4507059846887375, 'H': 0.4139387338433253}, {'B': -0.32860654543832557, 'D': -0.38760966040975614, 'F': -0.4517059846887375, 'H': -0.4149387338433253}, {'B': 0.37018857152773554, 'D': 0.36892483974887075, 'F': 0.3516810800750022, 'H': 0.2498326995947014}, {'B': -0.37118857152773554, 'D': -0.36992483974887075, 'F': -0.3526810800750022, 'H': -0.2508326995947014}, {'A': 0.19042114998025356, 'C': 0.22861129933958846, 'E': 0.10852969005181014, 'G': 0.10762937520891648}, {'A': -0.19142114998025356, 'C': -0.22961129933958846, 'E': -0.10952969005181014, 'G': -0.10862937520891648}, {'B': 0.052990406235727865, 'D': 0.40024500928864964, 'F': 0.24807245207790046, 'H': 0.1800861537481147}, {'B': -0.053990406235727866, 'D': -0.40124500928864965, 'F': -0.24907245207790046, 'H': -0.1810861537481147}]
[{'A': 0.26525384666789803, 'C': 0.10168187228031438, 'E': 0.12335350270143972, 'G': 0.41361828348175406}, {'A': -0.26625384666789803, 'C': -0.10268187228031438, 'E': -0.12435350270143972, 'G': -0.41461828348175406}, {'A': 0.49441883469567466, 'C': 0.2164173365762624, 'E': 0.1458596128958212, 'G': 0.18021533328038725}, {'A': -0.49541883469567466, 'C': -0.2174173365762624, 'E': -0.1468596128958212, 'G': -0.18121533328038725}, {'A': 0.12997794032345483, 'C': 0.06275031385837579, 'E': 0.15608360927330328, 'G': 0.4100584292140693}, {'A': -0.13097794032345483, 'C': -0.06375031385837579, 'E': -0.15708360927330328, 'G': -0.4110584292140693}, {'B': 0.059994312252710215, 'D': 0.27317545391117043, 'F': 0.07433521933342653, 'H': 0.4384794363304439}, {'B': -0.060994312252710216, 'D': -0.27417545391117043, 'F': -0.07533521933342653, 'H': -0.4394794363304439}, {'B': 0.3771057517513663, 'D': 0.1870288178640308, 'F': 0.28378657616899416, 'H': 0.39615403178983594}, {'B': -0.3781057517513663, 'D': -0.1880288178640308, 'F': -0.28478657616899417, 'H': -0.39715403178983594}, {'B': 0.3544645068132056, 'D': 0.126792104128207, 'F': 0.1373396654265569, 'H': 0.10755243304208609}, {'B': -0.3554645068132056, 'D': -0.127792104128207, 'F': -0.1383396654265569, 'H': -0.10855243304208609}, {'B': 0.210005100310523, 'D': 0.05243491313763457, 'F': 0.17958278041123893, 'H': 0.144375658097706}, {'B': -0.211005100310523, 'D': -0.05343491313763457, 'F': -0.18058278041123893, 'H': -0.145375658097706}, {'B': 0.15517795694391745, 'D': 0.1869195601312426, 'F': 0.07968706006108985, 'H': 0.08188364458503333}, {'B': -0.15617795694391745, 'D': -0.1879195601312426, 'F': -0.08068706006108985, 'H': -0.08288364458503333}, {'A': 0.14040028531562493, 'C': 0.2295844590158494, 'E': 0.3635552043758066, 'G': 0.3580275399023146}, {'A': -0.14140028531562493, 'C': -0.2305844590158494, 'E': -0.3645552043758066, 'G': -0.3590275399023146}, {'B': 0.4819140212326335, 'D': 0.12694769176430093, 'F': 0.4771759438860599, 'H': 0.08523075874425841}, {'B': -0.4829140212326335, 'D': -0.12794769176430093, 'F': -0.4781759438860599, 'H': -0.08623075874425841}]
[{'A': 0.0681341610434153, 'C': 0.1863675330387391, 'E': 0.3476512814911875, 'G': 0.08188820806659668}, {'A': -0.0691341610434153, 'C': -0.1873675330387391, 'E': -0.3486512814911875, 'G': -0.08288820806659668}, {'B': 0.16870251197539135, 'D': 0.4396962766329582, 'F': 0.42376016997966115, 'H': 0.16215634116620098}, {'B': -0.16970251197539135, 'D': -0.4406962766329582, 'F': -0.42476016997966115, 'H': -0.16315634116620098}, {'A': 0.3240756720706484, 'C': 0.35178584689623715, 'E': 0.22986960742630663, 'G': 0.14869960718469932}, {'A': -0.3250756720706484, 'C': -0.35278584689623715, 'E': -0.23086960742630663, 'G': -0.14969960718469932}, {'A': 0.42784704748576946, 'C': 0.3697893756872225, 'E': 0.28122370894583987, 'G': 0.1804741817213431}, {'A': -0.42884704748576946, 'C': -0.3707893756872225, 'E': -0.28222370894583987, 'G': -0.1814741817213431}, {'B': 0.24299738962379697, 'D': 0.3665891295984004, 'F': 0.06455880454422594, 'H': 0.36296321797255043}, {'B': -0.24399738962379697, 'D': -0.3675891295984004, 'F': -0.06555880454422594, 'H': -0.36396321797255043}, {'B': 0.14722115380130132, 'D': 0.2945051568986483, 'F': 0.1703619291993209, 'H': 0.34331597825746135}, {'B': -0.14822115380130133, 'D': -0.2955051568986483, 'F': -0.1713619291993209, 'H': -0.34431597825746135}, {'B': 0.052094287799734226, 'D': 0.2967433923797814, 'F': 0.114647247709529, 'H': 0.2278326009930301}, {'B': -0.05309428779973423, 'D': -0.2977433923797814, 'F': -0.115647247709529, 'H': -0.2288326009930301}, {'A': 0.05744654538822016, 'C': 0.08964016700943628, 'E': 0.10688593984471302, 'G': 0.37463602325422113}, {'A': -0.05844654538822016, 'C': -0.09064016700943628, 'E': -0.10788593984471302, 'G': -0.37563602325422113}, {'A': 0.3897840397945999, 'C': 0.10321154296638024, 'E': 0.11678679642172721, 'G': 0.32585191151660614}, {'A': -0.3907840397945999, 'C': -0.10421154296638024, 'E': -0.11778679642172721, 'G': -0.32685191151660614}, {'B': 0.4407020985874762, 'D': 0.06326217433584541, 'F': 0.17540671301066996, 'H': 0.14593811194746031}, {'B': -0.4417020985874762, 'D': -0.06426217433584541, 'F': -0.17640671301066996, 'H': -0.14693811194746031}]
[{'A': 0.23583379965154416, 'C': 0.09316627345101056, 'E': 0.23379678532954873, 'G': 0.24751010840624077}, {'A': -0.23683379965154416, 'C': -0.09416627345101056, 'E': -0.23479678532954873, 'G': -0.24851010840624077}, {'B': 0.1428889315459233, 'D': 0.35354465551885916, 'F': 0.41989356582451565, 'H': 0.05902234240628188}, {'B': -0.1438889315459233, 'D': -0.35454465551885916, 'F': -0.42089356582451565, 'H': -0.06002234240628188}, {'B': 0.27992983783397124, 'D': 0.45109064299350893, 'F': 0.1101419802089796, 'H': 0.39761144299230505}, {'B': -0.28092983783397124, 'D': -0.45209064299350893, 'F': -0.1111419802089796, 'H': -0.39861144299230505}, {'A': 0.14877447686705092, 'C': 0.3512754699160474, 'E': 0.4091535338121153, 'G': 0.41611718592510416}, {'A': -0.14977447686705092, 'C': -0.3522754699160474, 'E': -0.4101535338121153, 'G': -0.41711718592510416}, {'B': 0.4331419383427434, 'D': 0.27631003274455307, 'F': 0.11379761381876195, 'H': 0.24536507569597615}, {'B': -0.4341419383427434, 'D': -0.27731003274455307, 'F': -0.11479761381876195, 'H': -0.24636507569597615}, {'B': 0.19563439521333764, 'D': 0.16593864063113814, 'F': 0.15176550600206012, 'H': 0.19469103248039066}, {'B': -0.19663439521333764, 'D': -0.16693864063113814, 'F': -0.15276550600206013, 'H': -0.19569103248039066}, {'B': 0.42356526835731984, 'D': 0.1886591658316496, 'F': 0.48776910105785454, 'H': 0.4836010021562002}, {'B': -0.42456526835731984, 'D': -0.1896591658316496, 'F': -0.48876910105785454, 'H': -0.4846010021562002}, {'B': 0.3728159134990427, 'D': 0.25994737917302907, 'F': 0.47831623304304405, 'H': 0.29319220251701184}, {'B': -0.3738159134990427, 'D': -0.26094737917302907, 'F': -0.47931623304304405, 'H': -0.29419220251701184}, {'A': 0.32516698729293164, 'C': 0.4059025945147466, 'E': 0.06648379782712614, 'G': 0.33852876841853896}, {'A': -0.32616698729293164, 'C': -0.4069025945147466, 'E': -0.06748379782712614, 'G': -0.33952876841853896}, {'A': 0.46673666386265905, 'C': 0.13950018909836637, 'E': 0.3073354458842722, 'G': 0.47564218694310845}, {'A': -0.46773666386265905, 'C': -0.14050018909836637, 'E': -0.3083354458842722, 'G': -0.47664218694310845}]
